Marca;;#;;Codigo;;Reff;;Descripcion;;Inv;;Foto
SIDERURGICO;;186;;1116032;;10702083;;TUBO CUADRADO 2"X2"X2.25X6MTS;;13;;
SIDERURGICO;;187;;1116019;;null;;TUBO CUADRADO 3"X3"X2.00MMX6MTS;;12;;
SIDERURGICO;;188;;1116023;;000030;;TUBO CUADRADO 3/4X3/4X0.80X6MTS;;55;;
SIDERURGICO;;189;;1116003;;null;;TUBO CUADRADO 3/4X3/4X0.90X6MTS;;176;;
SIDERURGICO;;190;;1116029;;10701012;;TUBO CUADRADO 4"X4"X1.50X6MTS;;18;;
SIDERURGICO;;191;;1108005;;null;;TUBO ESTRUCTURAL CUAD 110X110X3.40MMX6MTS;;4;;
SIDERURGICO;;192;;1108004;;null;;TUBO ESTRUCTURAL CUAD 40X40X2.00MMX6MTS;;28;;
SIDERURGICO;;193;;1108026;;null;;TUBO ESTRUCTURAL CUAD 60X60X2.20MMX6MTS;;36;;
SIDERURGICO;;194;;1108003;;16;;TUBO ESTRUCTURAL CUAD 90X90X2.50MMX6MTS;;3;;
SIDERURGICO;;195;;1108022;;null;;TUBO ESTRUCTURAL RECT 100X40X2.00MMX6MTS;;172;;
SIDERURGICO;;196;;1108021;;10706003;;TUBO ESTRUCTURAL RECT 100X40X2.25MMX6MTS;;3;;
SIDERURGICO;;197;;1108002;;null;;TUBO ESTRUCTURAL RECT 120X60X2.50MMX6MTS;;35;;
SIDERURGICO;;198;;1108017;;000100;;TUBO ESTRUCTURAL RECT 140X60X3MMX6MTS;;29;;
SIDERURGICO;;199;;1108007;;null;;TUBO ESTRUCTURAL RECT 160X65X3MMX6MTS;;5;;
SIDERURGICO;;200;;1108006;;10706463;;TUBO ESTRUCTURAL RECT 180X65X3MMX6MTS;;22;;
SIDERURGICO;;201;;1108024;;null;;TUBO ESTRUCTURAL RECT 80X40X2.00MMX6MTS;;119;;
SIDERURGICO;;202;;1108001;;null;;TUBO ESTRUCTURAL RECT 80X40X2.20MMX6MTS;;34;;
SIDERURGICO;;203;;1108027;;10706270;;TUBO ESTRUCTURAL RECT 80X40X2.40MMX6MTS;;40;;
SIDERURGICO;;204;;1122015;;null;;TUBO GALVANIZADO P/CERCA 1-1/4X0.90MMX6.60MTS;;36;;
SIDERURGICO;;205;;1122017;;null;;TUBO GALVANIZADO P/CERCA 2"X0.90MMX2.20MTS;;57;;
SIDERURGICO;;206;;1122016;;null;;TUBO GALVANIZADO P/CERCA 2"X0.90MMX6.60MTS;;51;;
SIDERURGICO;;207;;1117030;;null;;TUBO RECTANGULAR 1"X1/2"X0.90X6MTS;;61;;
SIDERURGICO;;208;;1117008;;null;;TUBO RECTANGULAR 1-1/2"X1"X0.90X6MTS;;44;;
SIDERURGICO;;209;;1117007;;000040;;TUBO RECTANGULAR 1-1/2"X1/2"X0.90X6MTS;;18;;
SIDERURGICO;;210;;1117036;;null;;TUBO RECTANGULAR 1-1/2"X3/4"X1.00X6MTS;;60;;
SIDERURGICO;;211;;1117037;;null;;TUBO RECTANGULAR 1-3/4"X1/2"X1.00X6MTS;;95;;
SIDERURGICO;;212;;1117003;;10704281;;TUBO RECTANGULAR 2"X1"X0.70X6MTS;;26;;
SIDERURGICO;;213;;1117027;;000050;;TUBO RECTANGULAR 2"X1"X0.80X6MTS;;391;;
SIDERURGICO;;214;;1117005;;000020;;TUBO RECTANGULAR 2"X1"X0.90X6MTS;;562;;
SIDERURGICO;;215;;1117006;;70;;TUBO RECTANGULAR 2"X1"X1.10X6MTS;;34;;
SIDERURGICO;;216;;1117042;;10704273;;TUBO RECTANGULAR 2"X1"X1.20X6MTS;;136;;
